id,name,ISBN,author,publisher,pub_date,score,times,state
1,红楼梦,9787020002207,曹雪芹著/高鹗,人民文学出版社,1996/12,9.6,149,0
2,活着,9787506365437,余华,作家出版社,2012/8/1,9.4,108,222
3,1984,9787530210291,乔治·奥威尔,北京十月文艺出版社,2010/4/1,9.4,128,0
4,百年孤独,9787544253994,加西亚·马尔克斯,南海出版公司,2011/6,9.3,141,222
5,三体全集 : 地球往事三部曲,9787229042066,刘慈欣,重庆出版社,2012/1/1,9.5,128,333
6,飘,9787806570920,玛格丽特·米切尔,译林出版社,2000/9,9.3,146,0
7,哈利·波特,9787020096695,J.K.罗琳 (J.K.Rowling), 人民文学出版社,2008/12/1,9.7,101,0
8,房思琪的初恋乐园,9787559614636,林奕含,北京联合出版公司,2018/2,9.2,131,0
9,三国演义（全二册）,9787020008728,罗贯中,人民文学出版社,1998/05,9.3,131,0
10,动物农场,9787532741854,乔治·奥威尔,上海译文出版社,2007/3,9.3,127,0
11,福尔摩斯探案全集（上中下）,9787501408580,阿·柯南道尔,群众出版社,1981/8,9.3,102,0
12,白夜行,9787544258609,阿·柯南道尔,南海出版公司,2013/1/1,9.2,136,0
13,小王子,9787020042494,安东尼·德·圣-埃克苏佩里,人民文学出版社,2003/8/1,9.1,120,0
14,安徒生童话故事集,9787020017713,安徒生,人民文学出版社,1997/8/1,9.2,135,0
15,天龙八部,9787108006721,金庸,生活·读书·新知三联书店,1994/5/1,9.2,147,0
16,撒哈拉的故事,9787806398791,三毛,哈尔滨出版社,2003/8/1,9.2,116,0
17,杀死一只知更鸟,9787544722766,哈珀·李,上海译文出版社,2012/9/1,9.2,102,0
18,呐喊,9787020152575,鲁迅,人民文学出版社,2021/8/1,9.1,101,0
19,明朝那些事儿（1-9）: 限量版,9787801656087,当年明月,中国海关出版社,2009/4/1,9.2,124,0
20,沉默的大多数: 王小波杂文随笔全编,9787500627098,王小波,中国青年出版社,1997/10/1,9.1,105,0
21,失踪的孩子: 那不勒斯四部曲4,9787020139927,埃莱娜·费兰特,人民文学出版社,2018/7/1,9.2,103,0
22,新名字的故事: 那不勒斯四部曲2,9787020125265,埃莱娜·费兰特,人民文学出版社,2017/4/1,9.2,119,0
23,局外人,9787532751471,阿尔贝·加缪,上海译文出版社,2010/8,9.1,131,0
24,中国历代政治得失,9787108015280,钱穆,生活·读书·新知三联书店,2001,9.2,114,0
25,人类简史：从动物到上帝,9787508647357,尤瓦尔·赫拉利,中信出版社,2014/11,9.1,108,0
26,平凡的世界（全三部）,9787020049295,路遥,人民文学出版社,2005/1,9,132,0
27,围城,9787020024759,钱锺书,人民文学出版社,1991/2,9,128,0
28,笑傲江湖（全四册）,9787108006639,金庸,生活·读书·新知三联书店,1994/5,9.1,109,0
29,乡土中国,9787208062153,费孝通,上海人民出版社,2006/4/1,9.2,130,0
30,野草,10019-1981,鲁迅,人民文学出版社,1973/3,9.5,125,222
31,白鹿原,9787020090297,陈忠实,人民文学出版社,2012/9,9.2,150,0
32,霍乱时期的代码,9787544258975,加西亚·马尔克斯,南海出版公司,2012/9/1,9,133,0
33,邓小平时代,9787108041531,傅高义,生活·读书·新知三联书店,2013/1,9.3,124,0
34,东方快车谋杀案,9787020056309,阿加莎·克里斯蒂,人民文学出版社,2006/5,9.1,124,0
35,肖申克的救赎,9787020054985,斯蒂芬·金,人民文学出版社,2006/7,9.1,132,0
36,悉达多：一首印度的诗,9787201112695,赫尔曼·黑塞,天津人民出版社,2017/1,9.3,143,0
37,基督山伯爵,9787532712243,大仲马,上海译文出版社,1991/12,9.1,122,0
38,江城,9787532756728,彼得·海斯勒,上海译文出版社,2012/1,9.1,111,0
39,我与地坛,9787531324362,史铁生,春风文艺出版社,2002/5,9.2,142,0
40,月亮与六便士,9787532739547,毛姆,上海译文出版社,2006/8,9,132,0
41,万历十五年,9787108009821,黄仁宇,生活·读书·新知三联书店,1997/5,9,127,0
42,彷徨,9787020142187,鲁迅,人民文学出版社,2021/9,9.2,136,0
43,城南旧事,9787500652045,林海音,中国青年出版社,2003/7,9.1,118,0
44,罗杰疑案,9787513311236,阿加莎·克里斯蒂,新星出版社,2013/3,9.2,116,0
45,献给阿尔吉侬的花束,9787549565115,丹尼尔·凯斯,广西师范大学出版社,2015/4,9.1,132,0
46,艺术的故事,9787807463726,E·H·贡布里希,广西美术出版社,2008/4/1,9.6,111,0
47,追风筝的人,9787208061644,卡勒德·胡赛尼,上海人民出版社,2006/5/1,8.9,130,0
48,射雕英雄传,9787108012586,金庸,生活·读书·新知三联书店,1999/4/1,9.1,110,0
49,卡拉马佐夫兄弟,9787532740086,费奥多尔·陀思妥耶夫斯基,上海译文出版社,2006/8/1,9.5,103,0
50,刀锋,9787532741922,毛姆,上海译文出版社,2007/3/1,9,109,0
51,寻路中国,9787532752805,彼得·海斯勒,上海译文出版社,2011/1/1,9,113,0
52,许三观卖血记,9787506365680,余华,作家出版社,2012/9/1,9.1,102,0
53,故事新编,10019-1999,鲁迅,人民文学出版社,1973/12/1,9.4,100,0
54,朝花夕拾,10019-1985,鲁迅,人民文学出版社,1973/4/1,9,150,0
55,格林童话全集,9787020019526,格林兄弟,人民文学出版社,1994/11/01,9,101,0
